epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,91.4474,0.72668,0.79862,0.86878,0.89083,0.97058,0.95371,0.7759,0.65831,0.73457,0.84942,0.000547306,0.000547306,0.000547306
43,93.5785,0.6855,0.75561,0.83113,0.8933,0.97514,0.96318,0.81163,0.61395,0.61911,0.84772,0.000533558,0.000533558,0.000533558
44,95.6705,0.65531,0.76046,0.85184,0.89554,0.96702,0.96261,0.82203,0.57447,0.64493,0.82588,0.000519809,0.000519809,0.000519809
45,97.7576,0.71128,0.77679,0.86869,0.87921,0.97097,0.96269,0.79783,0.60734,0.62684,0.83474,0.00050606,0.00050606,0.00050606
46,99.892,0.65198,0.7243,0.85025,0.89029,0.99004,0.96615,0.82589,0.53554,0.59726,0.81878,0.000492312,0.000492312,0.000492312
47,102.003,0.64942,0.76434,0.8429,0.88307,0.95589,0.95796,0.80553,0.55201,0.65918,0.82123,0.000478563,0.000478563,0.000478563
48,104.108,0.64378,0.71352,0.84176,0.92864,0.94573,0.96629,0.8319,0.53142,0.5729,0.81961,0.000464815,0.000464815,0.000464815
49,106.229,0.61197,0.70508,0.8404,0.94595,0.92397,0.96284,0.82961,0.54036,0.57751,0.81757,0.000451066,0.000451066,0.000451066
50,108.35,0.61595,0.66854,0.82787,0.94388,0.9315,0.97267,0.83075,0.55972,0.57573,0.82542,0.000437317,0.000437317,0.000437317
51,110.451,0.58825,0.68191,0.8293,0.90957,0.96212,0.9672,0.82524,0.53234,0.61188,0.8179,0.000423569,0.000423569,0.000423569
52,112.569,0.6195,0.67422,0.84601,0.91395,0.98105,0.96675,0.80546,0.57313,0.54602,0.83061,0.00040982,0.00040982,0.00040982
53,114.647,0.57569,0.64437,0.83792,0.92236,0.96434,0.96857,0.83469,0.54813,0.55462,0.82446,0.000396071,0.000396071,0.000396071
54,116.808,0.56593,0.66012,0.82784,0.90283,0.93047,0.96912,0.78935,0.61735,0.61104,0.84083,0.000382323,0.000382323,0.000382323
55,118.888,0.57005,0.63163,0.845,0.91868,0.93464,0.97546,0.83202,0.541,0.57171,0.82434,0.000368574,0.000368574,0.000368574
56,121.019,0.57481,0.63349,0.83178,0.92873,0.92553,0.97165,0.83079,0.52212,0.60301,0.82198,0.000354826,0.000354826,0.000354826
57,123.128,0.59736,0.64994,0.83146,0.90584,0.93568,0.96822,0.83114,0.53069,0.612,0.82052,0.000341077,0.000341077,0.000341077
58,125.243,0.61411,0.66534,0.84457,0.89616,0.95369,0.96764,0.83254,0.51267,0.68247,0.8158,0.000327328,0.000327328,0.000327328
59,127.338,0.62746,0.6388,0.85453,0.93142,0.93554,0.97679,0.81364,0.55869,0.63607,0.8192,0.00031358,0.00031358,0.00031358
60,129.426,0.58263,0.62949,0.82903,0.8956,0.94682,0.97838,0.83671,0.51572,0.62328,0.81368,0.000299831,0.000299831,0.000299831
61,131.548,0.56072,0.61305,0.84222,0.89036,0.96379,0.97645,0.82308,0.5227,0.6015,0.81659,0.000286083,0.000286083,0.000286083
62,133.654,0.54583,0.5863,0.83499,0.92625,0.95204,0.97552,0.83694,0.51203,0.56094,0.8153,0.000272334,0.000272334,0.000272334
63,135.747,0.51563,0.5618,0.82973,0.91735,0.96102,0.9736,0.81626,0.53289,0.57137,0.8178,0.000258585,0.000258585,0.000258585
64,137.838,0.55848,0.58808,0.84002,0.89181,0.96516,0.97411,0.83708,0.508,0.55275,0.80605,0.000244837,0.000244837,0.000244837
65,139.958,0.54922,0.56509,0.83537,0.91504,0.93202,0.97524,0.83574,0.52776,0.57838,0.81546,0.000231088,0.000231088,0.000231088
66,142.089,0.51599,0.56129,0.812,0.93056,0.89875,0.97471,0.84016,0.5152,0.59526,0.81428,0.000217339,0.000217339,0.000217339
67,144.226,0.55662,0.56454,0.82515,0.92238,0.94257,0.97122,0.82521,0.54726,0.52733,0.81968,0.000203591,0.000203591,0.000203591
68,146.358,0.54575,0.57575,0.83585,0.95388,0.90311,0.97174,0.83466,0.54471,0.55245,0.8171,0.000189842,0.000189842,0.000189842
69,148.431,0.58745,0.5859,0.82598,0.9433,0.91641,0.95946,0.8208,0.53214,0.54017,0.8146,0.000176094,0.000176094,0.000176094
70,150.515,0.50316,0.5415,0.8274,0.94604,0.915,0.95719,0.83553,0.49288,0.51156,0.81041,0.000162345,0.000162345,0.000162345
71,156.492,0.50915,0.5923,0.82506,0.92868,0.92461,0.95823,0.8505,0.47284,0.51945,0.80478,0.000148596,0.000148596,0.000148596
72,158.598,0.46084,0.5493,0.79396,0.89476,0.96355,0.95191,0.83612,0.47205,0.55456,0.80463,0.000134848,0.000134848,0.000134848
73,160.717,0.46679,0.54881,0.80613,0.90133,0.9592,0.95945,0.84283,0.48017,0.57198,0.80821,0.000121099,0.000121099,0.000121099
74,162.829,0.44665,0.53166,0.80794,0.91097,0.95076,0.96661,0.84539,0.46535,0.52896,0.80167,0.00010735,0.00010735,0.00010735
75,165.007,0.44296,0.5246,0.81062,0.92385,0.93759,0.96734,0.84802,0.47889,0.52488,0.80393,9.36017e-05,9.36017e-05,9.36017e-05
76,167.082,0.40784,0.51004,0.79923,0.89826,0.96632,0.96973,0.8332,0.49057,0.54823,0.80579,7.98531e-05,7.98531e-05,7.98531e-05
77,169.19,0.42455,0.50893,0.7848,0.89505,0.96109,0.96827,0.84902,0.46811,0.53764,0.80284,6.61045e-05,6.61045e-05,6.61045e-05
78,171.37,0.42516,0.5247,0.81769,0.93206,0.92291,0.96909,0.84672,0.46983,0.53616,0.80404,5.23559e-05,5.23559e-05,5.23559e-05
79,173.459,0.41392,0.50593,0.80738,0.93536,0.92242,0.96624,0.84901,0.48208,0.54289,0.80692,3.86073e-05,3.86073e-05,3.86073e-05
80,175.644,0.38643,0.49681,0.80451,0.91634,0.91992,0.96822,0.85132,0.48864,0.53986,0.808,2.48586e-05,2.48586e-05,2.48586e-05
